               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.03644,            0.021499,            0.072784,           0.0084644,             0.99102,            0.017462,             0.01538,           0.0075319,           0.0041849,            0.035401,            0.070117,           0.0033203,           0.0033203
                   1,            0.022019,            0.012669,            0.071153,           0.0091927,             0.99806,            0.020943,            0.019116,           0.0052258,           0.0031505,            0.034699,            0.040007,           0.0065439,           0.0065439
                   2,            0.019302,            0.010561,            0.070343,           0.0093663,                   1,            0.024237,            0.022916,           0.0094063,           0.0026137,            0.034348,           0.0097876,           0.0096574,           0.0096574
                   3,            0.015784,            0.009536,             0.06954,           0.0093785,                   1,            0.049306,            0.044311,           0.0062371,           0.0025287,            0.033416,            0.009505,            0.009505,            0.009505
                   4,            0.013098,            0.008753,            0.068484,              0.8821,            0.040941,            0.077088,            0.075661,            0.012633,           0.0020104,            0.031708,            0.009505,            0.009505,            0.009505
                   5,            0.012123,           0.0084173,            0.067502,             0.76902,            0.084572,             0.10885,            0.094545,            0.004541,           0.0021486,            0.030045,             0.00934,             0.00934,             0.00934
                   6,            0.011135,           0.0078998,            0.065488,             0.65338,             0.12538,             0.13368,              0.1073,           0.0051321,           0.0019383,            0.028671,            0.009175,            0.009175,            0.009175
                   7,            0.010944,           0.0079075,            0.065319,              0.6272,             0.17201,             0.16605,             0.13681,           0.0046726,           0.0018001,            0.027549,             0.00901,             0.00901,             0.00901
                   8,             0.01017,           0.0076136,             0.06345,             0.60018,             0.20809,             0.20147,             0.17127,           0.0048588,           0.0019667,            0.026424,            0.008845,            0.008845,            0.008845
                   9,             0.01004,           0.0073995,            0.061449,             0.58048,             0.24688,             0.24451,             0.21716,           0.0046513,           0.0021994,            0.025139,             0.00868,             0.00868,             0.00868
                  10,           0.0099663,           0.0073732,            0.061475,             0.57568,             0.26703,             0.26704,             0.23751,           0.0045443,           0.0020501,            0.024314,            0.008515,            0.008515,            0.008515
                  11,           0.0096141,           0.0072841,            0.059971,             0.61398,             0.27295,             0.29261,             0.26963,           0.0038819,           0.0019854,            0.023424,             0.00835,             0.00835,             0.00835
                  12,           0.0095601,           0.0072285,            0.059236,              0.5723,             0.30602,             0.32066,             0.26797,           0.0054793,           0.0019019,            0.022564,            0.008185,            0.008185,            0.008185
                  13,            0.009479,           0.0071449,            0.058025,             0.59787,             0.30425,             0.34446,             0.29527,           0.0045248,           0.0018966,             0.02185,             0.00802,             0.00802,             0.00802
